sku,image_url,error
BED-34266-DOUBLE-BEDROOM-6-PIECES-WITH-W,https://cityw.com.sa/wp-content/uploads/2024/11/02-30-00804-4-500x500.webp,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-34285-DOUBLE-BEDROOM-WHITE-6-PIECES-,https://cityw.com.sa/wp-content/uploads/2024/10/02-14-00128-2-500x500.webp,"Failed to download image from https://cityw.com.sa/wp-content/uploads/2024/10/02-14-00128-2-500x500.webp: Redirect response '302 Found' for url 'https://cityw.com.sa/wp-content/uploads/2024/10/02-14-00128-2-500x500.webp'
Redirect location: 'https://cityw.com.sa/ar/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/302"
BED-34288-DOUBLE-BEDROOM-6-PIECES-WITH-W,https://cityw.com.sa/wp-content/uploads/2024/10/02-30-00830-14-1-500x500.webp,"Failed to download image from https://cityw.com.sa/wp-content/uploads/2024/10/02-30-00830-14-1-500x500.webp: Redirect response '302 Found' for url 'https://cityw.com.sa/wp-content/uploads/2024/10/02-30-00830-14-1-500x500.webp'
Redirect location: 'https://cityw.com.sa/ar/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/302"
BED-34308-DOUBLE-BEDROOM-7-PIECES-WITH-W,https://cityw.com.sa/wp-content/uploads/2024/06/02-30-00670-1-500x500.webp,"Failed to download image from https://cityw.com.sa/wp-content/uploads/2024/06/02-30-00670-1-500x500.webp: Redirect response '302 Found' for url 'https://cityw.com.sa/wp-content/uploads/2024/06/02-30-00670-1-500x500.webp'
Redirect location: 'https://cityw.com.sa/ar/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/302"
BED-76327-COLIN-QUEEN-BED-OATMEAL,https://www.alrugaibfurniture.com/cdn/shop/files/ChatGPTImageOct22_2025_10_06_43AM_1800x1800.png?v=1761116881,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/ChatGPTImageOct22_2025_10_06_43AM_1800x1800.png?v=1761116881: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/ChatGPTImageOct22_2025_10_06_43AM_1800x1800.png?v=1761116881'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76373-TWIN-DAY-BED,https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-01-01T114237.211_1800x1800.png?v=1672562386,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-01-01T114237.211_1800x1800.png?v=1672562386: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-01-01T114237.211_1800x1800.png?v=1672562386'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76391-RM-LIGHT-BROWN-BED,https://www.alrugaibfurniture.com/cdn/shop/products/3_c11c0b00-1ef9-4671-b583-b687c4ca37d7_1800x1800.png?v=1683705075,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/3_c11c0b00-1ef9-4671-b583-b687c4ca37d7_1800x1800.png?v=1683705075: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/3_c11c0b00-1ef9-4671-b583-b687c4ca37d7_1800x1800.png?v=1683705075'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76396-KING-UPH-BED,https://www.alrugaibfurniture.com/cdn/shop/products/B090-381-ANGLE-SW_1800x1800.jpg?v=1667370386,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/B090-381-ANGLE-SW_1800x1800.jpg?v=1667370386: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/B090-381-ANGLE-SW_1800x1800.jpg?v=1667370386'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76413-MIMI-BED,https://www.alrugaibfurniture.com/cdn/shop/products/3_728d86a8-9fba-485a-a186-da0c9038a39f_1800x1800.png?v=1683704967,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/3_728d86a8-9fba-485a-a186-da0c9038a39f_1800x1800.png?v=1683704967: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/3_728d86a8-9fba-485a-a186-da0c9038a39f_1800x1800.png?v=1683704967'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76436-323-PORTICO-50-UPHOLSTERED-BED,https://www.alrugaibfurniture.com/cdn/shop/files/323126-sl2_1_1800x1800.jpg?v=1696151105,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/323126-sl2_1_1800x1800.jpg?v=1696151105: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/323126-sl2_1_1800x1800.jpg?v=1696151105'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
